CASEID	YEAR	ID	AGE	SEX	RACE	EDUC	PAEDUC	MAEDUC	SPEDUC	DEGREE	PADEG	MADEG	SPDEG	ATTRELIG	NUMDAYS	SUNDAY	MONDAY	TUESDAY	WEDNESDY	THURSDAY	FRIDAY	SATURDAY	ATTREG	MEDIAREL	OTHREL	OTHREL1	OTHREL2	OTHREL3	ATTWEEK	RELIGID	RELID1	RELID2	RELID3	RELIDBST	CATHID	CHARISMA	RELATE1	GENDER1	OLD1	MAR1	AWAY1	WHERE1	ISCO68	PAISCO68	SPISCO68	ISCO681	PAISC681	MAISC681	SPISC681	ISCO88	PAISCO88	MAISCO88	SPISCO88	SEI	FIRSTSEI	PASEI	MASEI	SPSEI	WRKSTAT	HRS1	HRS2	EVWORK	OCC	PRESTIGE	WRKSLF	WRKGOVT	COMMUTE	INDUSTRY	OCC80	PRESTG80	INDUS80	OCC10	INDUS10	MARITAL	AGEWED	DIVORCE	WIDOWED	SPWRKSTA	SPHRS1	SPHRS2	SPEVWORK	SPOCC	SPPRES	SPWRKSLF	SPIND	SPOCC80	SPPRES80	SPIND80	SPOCC10	SPIND10	PAOCC16	PAPRES16	PAWRKSLF	PAIND16	PAOCC80	PAPRES80	PAIND80	PAOCC10	PAIND10	MAOCC80	MAPRES80	MAWRKSLF	MAIND80	MAOCC10	MAIND10	SIBS	CHILDS	AGEKDBRN	RES16	REG16	MOBILE16	FAMILY16	FAMDIF16	MAWORK	MAWKBABY	MAWKBORN	MAWK16	MAWRKGRW	INCOM16	BORN	PARBORN	GRANBORN	HOMPOP	BABIES	PRETEEN	TEENS	ADULTS	UNRELAT	EARNRS	INCOME	RINCOME	CONINC	CONRINC	INCOME72	INCOME77	RINCOM77	INCOME82	RINCOM82	INCOME86	RINCOM86	INCOME91	RINCOM91	INCOME98	RINCOM98	INCOME06	RINCOM06	WEEKSWRK	PARTFULL	REGION	XNORCSIZ	SRCBELT	SIZE	DOTDATA	DOTPEOP	DOTTHNG	DOTGED	DOTSVP	DOTPRES	SPDOTDAT	SPDOTPEO	SPDOTTHN	SPDOTGED	SPDOTSVP	SPDOTPRE	PADOTDAT	PADOTPEO	PADOTTHN	PADOTGED	PADOTSVP	PADOTPRE	PARTYID	VOTE68	PRES68	IF68WHO	VOTE72	PRES72	IF72WHO	VOTE76	PRES76	IF76WHO	VOTE80	PRES80	IF80WHO	VOTE84	PRES84	IF84WHO	VOTE88	PRES88	IF88WHO	VOTE92	PRES92	IF92WHO	VOTE96	PRES96	IF96WHO	VOTE00	PRES00	IF00WHO	VOTE04	PRES04	IF04WHO	VOTE08	PRES08	IF08WHO	POLVIEWS	POLVIEWY	POLVIEWX	FEHOME	FEWORK	FEPRES	FEPOL	FEPOLY	FEIMP	FEINFO	FEFIRM	FECARE	FETHINK	FEWRITE	FEGIVE	FEJOIN	ABDEFECT	ABNOMORE	ABHLTH	ABPOOR	ABRAPE	ABSINGLE	ABANY	ABORCT	ABPRO1	ABPRO2	ABPRO3	ABCON1	ABCON2	ABCON3	ABIMP	ABINFO	ABFIRM	ABCARE	CHLDIDEL	CHLDMORE	CHLDNUM	CHLDSOON	PILL	TEENPILL	PILLOKY	PILLOK	SEXEDUC	DIVLAW	DIVLAWY	SPDUE	SPPAID	PREMARSX	TEENSEX	XMARSEX	HOMOSEX	HOMOCHNG	STRIKE	CIVRIGHT	ANTIWAR	PROWAR	SCHOOL	HIT	HITAGE	HITNUM	HITOK	HITMARCH	HITDRUNK	HITCHILD	HITBEATR	HITROBBR	POLHITOK	POLHITOY	POLABUSE	POLMURDR	POLESCAP	POLATTAK	FEAR	FEARHOME	BURGLR	ROBBRY	PISTOL	RIFLE	TICKET	ARREST	HUNT	HUNTOTHR	NEWS	TVHOURS	RADIOHRS	PHONE	ABHAVE1	ABHAVE2	ABHAVE3	ABLEGAL	FECHLD	FEHELP	FEPRESCH	FEFAM	ERAREAD	ERAMEANS	ERA	ERATELL	ERAWHY1	ERAWHY2	ERAWHY3	ERAIMP	ERAINFO	ERAFIRM	FEBEAR	FEWORKIF	RACSUBS	RACSUBGV	RACMAREL	RACMARPR	RACSUPS	RACTEACH	RACAVOID	RACCHNG	RACQUIT	RACDIF1	RACDIF2	RACDIF3	RACDIF4	SALFERGT	SALLABOR	SALSATFN	SALABORT	SALSCI	DEFSPDR	DEFSPDFG	HLPMINR	HLPMINFG	CUTSPDR	CUTSPDFG	PRIVACY	CIVIC	RUSHED	BORED	POLLGOOD	POLLTRUE	FESERVE	MESERVE	TAXSERVE	MILQUAL	MILPAY	FENUMOK	HINUMOK	BLNUMOK	HINUMOKY	BLNUMOKY	MILVOLOK	FIGHTAIR	MECHANIC	NURSE	TYPIST	BRASS	FIGHTLND	TRANSAIR	FIGHTSEA	FEFIGHT	FEDIRTY	FEBRASS	FEHLPMIL	DRAFT	DRAFTFE	DRAFTEM	DRAFTFEM	DRAFTCOL	DRAFTMAR	DRAFTPAR	DRAFTGAY	DRAFTCO	DRAFTDEF	VETFAM	VETFAMNW	MINMILOP	FEMILOP	COPUNISH	COJAIL	MILOKME	MILOKFE	UPGRADE	JOBTRAIN	NUKEWAR	LANDWAR	MORENUKE	LESSNUKE	NONUKE	GUERILLA	VETAID	DEFWRKEV	DEFWRKNW	MILWRKEV	MILWRKNW	RESDEFWK	CRIMUP	CRIMDOWN	RIFLES50	SPNATDIS	NATDISIN	NATDISCM	NEWSPRNT	GETAHEAY
55088	2012	1	22	1	1	16	16	16	97	3	4	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	48	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	2	15	-1	0	0	0	2	2	-1	0	0	0	0	4800	7470	5	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4710	4380	0	0	0	0	0	0	1	0	0	3	1	2	1	0	0	0	0	0	2	4	1	0	4	3	0	0	0	3	0	3	12	0	178712	0	0	0	0	0	0	0	0	0	0	0	0	25	0	42	2	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	8	1	9	1	8	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	2	0	0	0	4	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	1	2	4	0	3	1	-1	6	0	0	0	0	1	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55089	2012	2	21	1	1	12	97	12	97	1	7	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	45	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	2	30	-1	0	0	0	2	2	-1	0	0	0	0	2900	770	5	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	100	2190	2	0	0	3	1	1	5	2	0	0	0	0	1	4	1	0	0	5	0	0	1	4	0	3	12	0	178712	0	0	0	0	0	0	0	0	0	0	0	0	25	0	30	1	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	1	2	0	0	0	2	2	2	2	4	0	0	-1	-1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55090	2012	3	42	1	3	12	97	15	16	1	7	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	42	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	1	60	-1	0	0	0	2	2	-1	0	0	0	0	1320	6070	1	0	2	2	7	-1	-1	1	0	0	2	0	0	0	0	2310	7860	0	0	0	0	0	0	0	0	0	0	0	2	0	2540	8470	1	2	32	6	2	3	5	2	0	0	0	0	1	2	1	8	4	4	0	2	0	2	0	1	12	12	91920	91920	0	0	0	0	0	0	0	0	0	0	0	23	23	52	1	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	1	1	2	0	0	0	2	2	1	1	4	0	0	-1	-1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55091	2012	4	49	2	1	13	18	16	16	1	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	56	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	8	-1	-1	1	0	0	2	2	-1	0	0	0	0	800	6990	1	0	1	2	1	60	-1	0	0	0	1	0	0	0	0	4700	4770	0	0	2	0	0	0	0	10	1870	0	0	0	0	0	0	2	2	24	5	1	2	1	0	0	0	0	0	2	5	1	0	0	3	0	0	0	3	0	2	12	0	107240	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	2	1	3	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	1	0	0	0	0	0	0	1	2	0	0	2	4	-1	3	0	0	0	0	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55092	2012	5	70	2	2	16	98	12	97	3	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	71	4	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	5	-1	-1	1	0	0	2	1	-1	0	0	0	0	3800	9470	4	0	0	2	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	430	8770	0	0	2	0	8350	8090	0	3	24	3	2	1	3	2	0	0	0	0	1	2	1	0	0	1	0	0	0	1		0	12	0	42130	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	2	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	1	1	0	0	0	0	0	0	2	1	0	0	2	3	-1	3	0	0	0	0	2	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55093	2012	6	50	2	1	19	14	12	97	3	2	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	53	3	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	8	-1	-1	1	0	0	2	2	-1	0	0	0	0	1300	7290	2	0	2	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3710	9470	0	0	2	0	5700	770	4	2	25	1	2	2	0	1	0	0	0	0	1	8	1	0	0	2	0	0	0	2	1	1	12	0	21065	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	2	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	0	0	4	1	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	1	1	4	0	1	4	-1	6	0	0	0	0	2	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55094	2012	7	35	2	1	15	14	12	12	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	43	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	7	-1	-1	1	0	0	2	2	-1	0	0	0	0	4760	5190	1	0	2	2	1	60	-1	0	0	0	1	0	0	0	0	6260	770	0	0	2	0	0	0	0	9999	9680	0	0	2	0	4760	8680	2	2	23	3	2	1	1	0	0	0	0	0	1	3	1	0		4	0	2	0	2	0	4	12	0	24895	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	2	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	2	1	2	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	2	1	0	0	0	0	0	0	2	2	0	0	5	3	-1	6	0	0	0	0	2	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55095	2012	8	24	2	3	11	97	11	97	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	7	-1	-1	2	0	0	0	0	-1	0	0	0	0	0	0	4	0	0	2	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4230	9290	2	3	17	4	2	1	7	5	0	0	0	0	1	3	2	8	4	4	2	1	0	1		0	5	0	4213	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	2	2	2	2	0	0	0	2	2	1	2	4	0	0	-1	-1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55096	2012	9	28	2	2	9	98	12	98	0	8	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	26	4	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	7	-1	-1	2	0	0	0	0	-1	0	0	0	0	0	0	1	0	2	2	2	98	-1	0	0	0	8	0	0	0	0	9999	9999	0	0	8	0	0	0	0	0	0	0	0	2	0	4720	4970	2	2	18	8	2	8	0	5	0	0	0	0	1	3	1	0	0	2	0	0	0	2	0	3	1	0	383	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	2	8	2	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	1	1	0	0	0	4	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	0	4	0	3	98	-1	6	0	0	0	0	2	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55097	2012	10	28	2	1	17	14	12	97	3	2	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	26	5	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	1	40	-1	0	0	0	2	2	-1	0	0	0	0	50	9170	5	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4220	8180	0	0	2	0	4600	7070	0	0	0	3	2	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1		1	12	12	24895	24895	0	0	0	0	0	0	0	0	0	0	0	16	16	52	1	2	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	1	1	1	0	0	0	2	2	1	1	4	0	0	-1	-1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
